"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"174640";"-0,566697";"44,816619";"44°48'59.828N 0°34'0.109W";"33063";"Rue des Poilus 1914-1918";"";"33800";"BORDEAUX";"03/05/2022";"En extérieur";"RPUB_147826.pdf";"Oui";"1,56";"Rue / Route / Parking";"EXEM";"";"0,13";"";"";"";"";"";"0,21";"";"";"";"0,34";"";"0,45";"";"0,9";"";"0,37";"";"0,36";"";"0,38";"";"1,264911";"1,240564";"18,916"
"174674";"-0,629042";"44,805841";"44°48'21.028N 0°37'44.551W";"33318";"Rue Adrien Ducourt";"";"33600";"PESSAC";"04/05/2022";"En extérieur";"RPUB_147854.pdf";"Oui";"1,13";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"0,35";"";"0,39";"";"0,34";"";"0,27";"";"0,46";"";"0,43";"";"0,11";"";"0,933649";"0,933649";"17,376"
"174676";"-0,413264";"44,782117";"44°46'55.621N 0°24'47.750W";"33363";"Lotissement Le Piron";"";"33670";"SADIRAC";"03/05/2022";"En intérieur";"RPUB_147892.pdf";"Oui";"0,36";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,05";"";"";"";"";"";"";"";"";"";"0,05";"0,05";"86,111"
"174689";"-1,078409";"44,733267";"44°43'59.761N 1°4'42.272W";"33005";"Boulevard du Marechal Juin";"";"33510";"ANDERNOS LES BAINS";"04/05/2022";"En extérieur";"RPUB_147853.pdf";"Oui";"0,61";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"0,14";"";"0,29";"";"0,2";"";"0,15";"";"0,13";"";"0,27";"";"0,07";"";"0,510784";"0,510784";"16,265"
"174706";"-1,153361";"44,652452";"44°39'8.827N 1°9'12.100W";"33009";"Rue Emile Doussy";"";"33120";"ARCACHON";"05/05/2022";"En extérieur";"RPUB_147921.pdf";"Oui";"0,56";"Rue / Route / Parking";"EXEM";"";"0,4";"";"";"";"";"";"";"";"0,08";"";"0,12";"";"0,19";"";"0,16";"";"0,12";"";"0,13";"";"";"";"0,523259";"0,337343";"6,561"
"174739";"-1,121056";"44,614171";"44°36'51.016N 1°7'15.802W";"33529";"Avenue Vulcain";"";"33260";"TESTE DE BUCH";"05/05/2022";"En extérieur";"RPUB_147923.pdf";"Oui";"1,16";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"0,37";"";"0,39";"";"0,56";"";"0,28";"";"0,25";"";"0,34";"";"0,1";"";"0,932255";"0,932255";"19,633"
"174807";"0,706258";"45,175457";"45°10'31.645N 0°42'22.529E";"24138";"Rue du Camp de César";"";"24660";"COULOUNIEIX CHAMIERS";"02/05/2022";"En extérieur";"RPUB_147995.pdf";"Oui";"2,46";"Rue / Route / Parking";"EXEM";"";"1,76";"";"";"";"";"";"0,19";"";"0,32";"";"0,4";"";"0,43";"";"0,24";"";"0,38";"";"0,36";"";"";"";"1,978029";"0,882553";"19,592"
"174811";"-0,36268";"44,767759";"44°46'3.932N 0°21'45.648W";"33140";"Route de Camblanes";"";"33670";"CREON";"11/03/2022";"En extérieur";"RPUB_148022.pdf";"Oui";"0,15";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"SIMUTECH-UAE";"0,01";"0,03";"0,01";"0,04";"0,04";"0,05";"0,05";"0,07";"0,04";"0,03";"";"0,08";"";"0,09";"";"0,06";"";"0,03";"";"0,01";"";"";"";"0,189209";"0,141421";"-26,139"
"174914";"0,464557";"44,863402";"44°51'48.247N 0°27'52.405E";"24037";"Chemin de Puypezac";"";"24100";"BERGERAC";"16/05/2022";"En extérieur";"RPUB_148171.pdf";"Oui";"0,16";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"174920";"1,724353";"43,989453";"43°59'22.031N 1°43'27.671E";"81217";"Chemin de Saint-Maurice";"";"81140";"PUYCELSI";"16/05/2022";"En intérieur";"RPUB_148165.pdf";"Oui";"0,2";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"0,08";"";"0,15";"";"";"";"";"";"";"";"";"";"0,17";"0,17";"15"
