"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"129066";"-0,726203";"45,092792";"45°5'34.051N 0°43'34.331W";"33220";"Chemin des Arrivaux";"";"33460";"LAMARQUE";"06/12/2016";"En extérieur";"R_SO3465_1_1PUB.pdf";"Oui";"0,56";"Divers";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129068";"-0,564251";"45,374639";"45°22'28.700N 0°33'51.304W";"17236";"Place Saint Sébastien";"";"17150";"MIRAMBEAU";"05/12/2016";"En intérieur";"R_SO3531_1_1PUB.pdf";"Oui";"0,74";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129070";"-0,586224";"44,833352";"44°50'0.067N 0°35'10.406W";"33063";"Rue Nicot";"";"33000";"BORDEAUX";"05/12/2016";"En intérieur";"R_SO3441_1_1PUB.pdf";"Oui";"0,2";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129073";"0,824082";"44,135583";"44°8'8.099N 0°49'26.695E";"82089";"Lasparrieres";"";"82360";"LAMAGISTERE";"06/12/2016";"En intérieur";"R_SO3468_1_1PUB.pdf";"Oui";"0,3";"Lieu d'habitation";"EXEM";"0,31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,31";"";"-3,333";"0"
"129075";"0,154324";"44,843866";"44°50'37.918N 0°9'15.566E";"24370";"Rue Carrière";"";"24230";"SAINT ANTOINE DE BREUILH";"06/12/2016";"En intérieur";"R_SO3523_1_1PUB.pdf";"Oui";"0,13";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129080";"-0,445408";"44,826451";"44°49'35.224N 0°26'43.469W";"33165";"Allée Bois Menu";"";"33370";"FARGUES SAINT HILAIRE";"06/12/2016";"En extérieur";"R_SO3471_1_1PUB.pdf";"Oui";"1,59";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129082";"0,154281";"44,843942";"44°50'38.191N 0°9'15.412E";"24370";"Rue Carrière";"";"24230";"SAINT ANTOINE DE BREUILH";"06/12/2016";"En intérieur";"R_SO3523_1_2PUB.pdf";"Oui";"0,13";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129084";"-0,495511";"43,893099";"43°53'35.156N 0°29'43.840W";"40192";"Avenue Antoine Dufau";"";"40000";"MONT DE MARSAN";"06/12/2016";"En intérieur";"R_SO3423_1_1PUB.pdf";"Oui";"0,66";"Locaux professionnels non accessibles au public";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129085";"1,295314";"45,044244";"45°2'39.278N 1°17'43.130E";"24085";"Valeille";"";"24120";"CASSAGNE";"07/12/2016";"En intérieur";"R_SO3520_1_1PUB.pdf";"Oui";"0,12";"Lieu d'habitation";"EXEM";"0,01";"0,03";"0,05";"0,04";"0,05";"0,05";"0,16";"0,05";"0,14";"0,01";"";"0,02";"";"0,02";"";"0,01";"";"0,01";"";"0,02";"";"";"";"0,243516";"0,03873";"-102,93";"0,990712"
"129114";"-0,74706";"45,482882";"45°28'58.375N 0°44'49.416W";"17160";"Rue du Perat";"";"17120";"FLOIRAC";"05/12/2016";"En extérieur";"R_SO3519_1_1PUB.pdf";"Oui";"0,15";"Lieu d'habitation";"EXEM";"0,01";"0,03";"0,04";"0,04";"0,05";"0,05";"0,16";"0,05";"0,14";"0,01";"";"0,02";"";"0,07";"";"0,04";"";"0,03";"";"0,02";"";"";"";"0,255343";"0,091104";"-70,229";"0,832594"
"129280";"1,138909";"44,502834";"44°30'10.202N 1°8'20.072E";"46231";"2 Grand Rue";"";"46700";"PUY L EVEQUE";"19/12/2016";"En intérieur";"R_SO3522_1_2PUB.pdf";"Oui";"0,14";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129283";"1,138995";"44,502842";"44°30'10.231N 1°8'20.382E";"46231";"1 Grand Rue";"";"46700";"PUY L EVEQUE";"19/12/2016";"En intérieur";"R_SO3522_1_1PUB.pdf";"Oui";"0,13";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129397";"-0,410281";"44,821223";"44°49'16.403N 0°24'37.012W";"33061";"Rue de la Merci";"";"33370";"BONNETAN";"11/01/2017";"En intérieur";"R_SO3556_1_1PUB.pdf";"Oui";"0,43";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129432";"-0,502775";"44,819008";"44°49'8.429N 0°30'9.990W";"33065";"Avenue de la belle étoile";"";"33270";"BOULIAC";"11/01/2017";"En extérieur";"R_SO3587_1_1PUB.pdf";"Oui";"2,28";"Rue / Route / Parking";"EXEM";"";"0,99";"";"";"";"";"0,05";"0,36";"";"";"";"0,98";"";"1,55";"";"0,36";"";"0,55";"";"0,16";"";"";"";"2,220991";"1,954636";"2,588";"0,760589"
"129678";"2,162955";"44,047715";"44°2'51.774N 2°9'46.638E";"81060";"Boulevard Charles de Gaulle";"";"81400";"CARMAUX";"06/02/2017";"En extérieur";"R_SO3658_1_2PUB.pdf";"Oui";"0,22";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"0,01";"0,04";"0,05";"0,04";"0,05";"0,05";"0,16";"0,05";"0,14";"0,01";"";"0,02";"";"0,07";"";"0,05";"";"0,19";"";"0,03";"";"";"";"0,321559";"0,211896";"-46,163";"0,826403"
