"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"246";"6,241667";"49,118056";"49°7'5.002N 6°14'30.001E";"57463";"Rue Joseph Cugnot";"bureau de monsieur ALBERT situé au 2eme et dernier étage du bâtiment de la société INTER INFORMATIQUE";"57070";"METZ";"11/02/2002";"En intérieur";"FicheMesure246.pdf";"Oui";"0,55";"Lieu d'habitation";"APAVE";"";"";"0,93";"";"";"";"";"";"";"";"";"";"";"";"0,39";"";"";"";"";"";"";"";"";"0,93";"";"-69,091"
"247";"6,241667";"49,118056";"49°7'5.002N 6°14'30.001E";"57463";"Rue Joseph Cugnot";"bureau situé au 2eme et dernier étage du bâtiment OEM de la société INTER INFORMATIQUE (bureau se trouvant sous le mât supportant deux antennes)";"57070";"METZ";"11/02/2002";"En intérieur";"FicheMesure247.pdf";"Oui";"0,33";"Lieu d'habitation";"APAVE";"";"0,08";"0,46";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,466905";"";"-41,486"
"248";"6,241667";"49,118056";"49°7'5.002N 6°14'30.001E";"57463";"Rue Joseph Cugnot";"Local de stockage de matériel informatique situé au 2eme et dernier étage du bâtiment OEM de la société INTER INFORMATIQUE (bureau se trouvant à proximité du monte charge).";"57070";"METZ";"11/02/2002";"En intérieur";"FicheMesure248.pdf";"Oui";"0,27";"Lieu d'habitation";"APAVE";"";"0,1";"0,19";"";"";"";"";"0,16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,267769";"";"0,826"
"249";"5,928611";"49,260556";"49°15'38.002N 5°55'43.000E";"54099";"Rue du Docteur Giry";"Terrasse du bâtiment";"54150";"VAL DE BRIEY";"12/02/2002";"En extérieur";"FicheMesure249.pdf";"Oui";"0,3";"Divers";"APAVE";"";"";"0,61";"";"";"";"";"0,11";"";"";"";"";"";"";"0,12";"";"1,28";"";"";"";"";"";"";"0,619839";"";"-106,613"
"250";"5,928611";"49,260556";"49°15'38.002N 5°55'43.000E";"54099";"Rue du Docteur Giry";"Local technique agent d'entretien de la 6eme rue au 16eme niveau du bâtiment";"54150";"VAL DE BRIEY";"12/02/2002";"En intérieur";"FicheMesure250.pdf";"Oui";"0,6";"Lieu d'habitation";"APAVE";"";"";"0,28";"";"";"";"";"0,27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,388973";"";"35,171"
"334";"6,108889";"49,305833";"49°18'20.999N 6°6'32.000E";"57206";"Avenue de Metz";"Point A : séjour de l'appartement 55 au 4ème étage";"57290";"FAMECK";"18/12/2001";"En intérieur";"FicheMesure334.pdf";"Oui";"0,4";"Lieu d'habitation";"BUREAU VERITAS";"";"";"1,22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,22";"";"-205"
"357";"6,166667";"49,145";"49°8'42.000N 6°10'0.001E";"57751";"Rue Pierre et Marie Curie";"Point A : chambre de l'appartement 402 au 9ème étage";"57140";"WOIPPY";"18/12/2001";"En intérieur";"FicheMesure357.pdf";"Oui";"0";"Lieu d'habitation";"BUREAU VERITAS";"";"";"0,13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,13";"";""
"358";"6,166667";"49,145";"49°8'42.000N 6°10'0.001E";"57751";"Rue Pierre et Marie Curie";"Point B : terrasse de l'immeuble.";"57140";"WOIPPY";"18/12/2001";"En extérieur";"FicheMesure358.pdf";"Oui";"1";"Divers";"BUREAU VERITAS";"";"";"0,9";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,82";"";"";"";"";"";"";"0,9";"";"10"
"379";"6,152222";"48,654167";"48°39'15.001N 6°9'7.999E";"54547";"Rue du Doyen Jacques Parisot";"Bâtiment du Centre de Médecine Préventive";"54500";"VANDOEUVRE LES NANCY";"19/03/2002";"En intérieur";"FicheMesure379.pdf";"Oui";"0,66";"Lieu d'habitation";"APAVE";"";"";"0,35";"";"";"";"";"0,24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,424382";"";"35,7"
"380";"6,152222";"48,654167";"48°39'15.001N 6°9'7.999E";"54547";"Rue du Doyen Jacques Parisot";"Bâtiment du Centre de Médecine Préventive";"54500";"VANDOEUVRE LES NANCY";"19/03/2002";"En intérieur";"FicheMesure380.pdf";"Oui";"0,28";"Lieu d'habitation";"APAVE";"";"";"0,49";"";"";"";"";"0,12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,50448";"";"-80,171"
