"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"156324";"3,079584";"50,358118";"50°21'29.225N 3°4'46.502E";"59178";"Allée Felix Labisse";"";"59500";"DOUAI";"29/01/2020";"En extérieur";"R_SO7316_1_8PUB.pdf";"Oui";"1,52";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"1,18";"";"0,19";"";"0,88";"";"0,16";"";"0,34";"";"0,25";"";"";"";"1,551322";"1,551322";"-2,061";"0,777432"
"156325";"3,068018";"50,398411";"50°23'54.280N 3°4'4.865E";"59234";"Rue de la Longueville";"";"59128";"FLERS EN ESCREBIEUX";"31/01/2020";"En extérieur";"R_SO7316_1_11PUB.pdf";"Oui";"0,79";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"0,42";"";"0,29";"";"0,12";"";"0,32";"";"0,18";"";"";"";"0,640078";"0,640078";"18,977";"0,397573"
"156328";"3,057804";"50,632137";"50°37'55.693N 3°3'28.094E";"59350";"Rue Jean Sans Peur";"";"59800";"LILLE";"31/01/2020";"En extérieur";"R_SO7795_1_3PUB.pdf";"Oui";"2,18";"Rue / Route / Parking";"EXEM";"";"";"";"";"0,08";"";"";"";"";"0,42";"";"0,9";"";"1,24";"";"0,5";"";"0,57";"";"0,43";"";"0,07";"";"1,815241";"1,813477";"16,732";"0,698059"
"156329";"3,064735";"50,367221";"50°22'1.996N 3°3'53.046E";"59178";"Boulevard Jeanne d'Arc";"";"59500";"DOUAI";"29/01/2020";"En extérieur";"R_SO7795_1_2PUB.pdf";"Oui";"1,05";"Rue / Route / Parking";"EXEM";"";"0,08";"";"";"";"";"";"";"";"";"";"0,52";"";"0,6";"";"0,23";"";"0,17";"";"0,31";"";"";"";"0,902607";"0,899055";"14,037";"0,583035"
"156330";"3,220217";"50,677507";"50°40'39.025N 3°13'12.781E";"59367";"Rue des Verdiers";"";"59390";"LYS LEZ LANNOY";"28/01/2020";"En intérieur";"R_SO8812_3_1PUB.pdf";"Oui";"0,32";"Lieu d'habitation";"EXEM";"";"0,35";"";"0,11";"";"";"";"";"";"";"";"";"";"0,05";"";"";"";"";"";"";"";"";"";"0,37027";"0,05";"-15,709";"0,76244"
"156335";"3,080077";"50,389362";"50°23'21.703N 3°4'48.277E";"59178";"Rue du Polygone";"";"59500";"DOUAI";"30/01/2020";"En extérieur";"R_SO7316_1_2PUB.pdf";"Oui";"0,48";"Rue / Route / Parking";"EXEM";"";"";"0,07";"";"";"";"";"";"";"";"";"0,13";"";"0,09";"";"0,12";"";"0,24";"";"0,23";"";"";"";"0,393446";"0,387169";"18,032";"0,44652"
"156482";"3,098595";"50,644889";"50°38'41.600N 3°5'54.942E";"59410";"Rue du Capitaine Michel";"";"59370";"MONS EN BAROEUL";"14/02/2020";"En extérieur";"R_SO8896_1_1PUB.pdf";"Oui";"1,32";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"156484";"3,097994";"50,644406";"50°38'39.862N 3°5'52.778E";"59410";"Avenue de la Sablière";"";"59370";"MONS EN BAROEUL";"14/02/2020";"En extérieur";"R_SO8896_1_2PUB.pdf";"Oui";"1,14";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"156487";"2,670836";"50,523475";"50°31'24.510N 2°40'15.010E";"62126";"Rue Jules Guesde";"";"62660";"BEUVRY";"14/02/2020";"En intérieur";"R_SO8925_2_1PUB.pdf";"Oui";"0,12";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"156494";"3,016262";"50,642385";"50°38'32.586N 3°0'58.543E";"59350";"Avenue de Mont-à-Camp";"";"59160";"LILLE";"18/02/2020";"En extérieur";"R_SO8976_1_3PUB.pdf";"Oui";"0,25";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"0,09";"";"0,11";"";"0,07";"";"0,07";"";"0,08";"";"";"";"0,190788";"0,190788";"23,685";"0,178174"
