"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"135778";"5,864532";"43,095021";"43°5'42.076N 5°51'52.315E";"83126";"Chemin de la Donicarde";"";"83500";"SEYNE SUR MER";"20/04/2018";"En intérieur";"R_SO6111_1_1PUB.pdf";"Oui";"0,15";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135789";"7,076633";"43,628527";"43°37'42.697N 7°4'35.879E";"06018";"Chemin des Soullières";"";"06410";"BIOT";"18/04/2018";"En extérieur";"R_SO5920_1_11PUB.pdf";"Oui";"3,45";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135791";"5,892599";"43,127619";"43°7'39.428N 5°53'33.356E";"83137";"Boulevard Montesquieu";"";"83200";"TOULON";"26/04/2018";"En extérieur";"R_SO6134_1_1PUB.pdf";"Oui";"0,35";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135803";"3,2815";"43,314609";"43°18'52.592N 3°16'53.400E";"34336";"Boulevard Gambetta";"";"34420";"VILLENEUVE LES BEZIERS";"26/04/2018";"En intérieur";"R_SO5964_1_1PUB.pdf";"Oui";"0,27";"Lieu d'habitation";"EXEM";"0,06";"";"";"";"";"";"";"";"0,24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,247";"";"8,375"
"135806";"7,076912";"43,628123";"43°37'41.243N 7°4'36.883E";"06018";"Chemin des Soullières";"";"06410";"BIOT";"18/04/2018";"En extérieur";"R_SO5920_1_5PUB.pdf";"Oui";"1,67";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135812";"7,075968";"43,628372";"43°37'42.139N 7°4'33.485E";"06018";"Chemin des Soullières";"";"06410";"BIOT";"17/04/2018";"En intérieur";"R_SO5920_1_6PUB.pdf";"Oui";"0,59";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135817";"7,077169";"43,628426";"43°37'42.334N 7°4'37.808E";"06018";"Chemin des Soullières";"";"06410";"BIOT";"18/04/2018";"En extérieur";"R_SO5920_1_4PUB.pdf";"Oui";"2,18";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135895";"3,231933";"43,353643";"43°21'13.115N 3°13'54.959E";"34032";"Rue du Roussillon";"";"34500";"BEZIERS";"17/05/2018";"En extérieur";"R_SO6143_1_1PUB.pdf";"Oui";"0,21";"Lieu d'habitation";"EXEM";"";"0,14";"";"";"0,06";"";"";"";"";"";"";"0,06";"";"";"";"";"";"";"";"";"";"";"";"0,164";"0,06";"22,044"
"135931";"4,517355";"43,975221";"43°58'30.796N 4°31'2.478E";"30346";"Chemin des Carrières";"";"30210";"VERS PONT DU GARD";"18/05/2018";"En intérieur";"R_SO6183_1_1PUB.pdf";"Oui";"0,53";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135971";"5,376241";"43,285383";"43°17'7.379N 5°22'34.468E";"13206";"Rue Fenelon";"";"13006";"MARSEILLE 6E ARRONDISSEMENT";"22/05/2018";"En intérieur";"R_SO6202_1_1PUB.pdf";"Oui";"0,15";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
